DATA,AVAYALOGIN,SUPERVISOR,SEGMENTO,STATUS,TEMPODECASA,TURNO,ATENDIDAS,RECH,TMA,TALKTIME,ACW,TRANSF,AVALIADAS,PROMOTORAS,NEUTRAS,DETRATORAS
2024-03-21,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,46,2,207,153,54,3,3,2,1,0
2024-01-02,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,34,2,355,271,84,0,10,8,2,0
2024-03-05,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,24,2,420,325,95,2,2,0,2,0
2024-01-12,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,50,3,412,325,87,2,6,4,2,0
2024-02-06,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,56,12,145,134,11,6,9,9,0,0
2024-03-18,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,58,3,445,332,113,2,4,1,3,0
2024-02-27,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,39,0,416,329,87,0,6,3,3,0
2024-03-26,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,28,2,391,322,69,0,3,2,1,0
2024-01-05,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,27,0,192,170,22,0,8,5,3,0
2024-02-12,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,45,2,183,148,35,2,10,6,4,0
2024-03-11,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,34,4,407,318,89,0,7,7,0,0
2024-01-23,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,46,0,139,107,32,0,2,1,1,0
2024-01-30,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,43,8,334,282,52,3,7,6,1,0
2024-02-23,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,37,1,231,187,44,2,2,2,0,0
2024-03-01,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,23,1,182,170,12,0,5,2,3,0
2024-02-05,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,41,1,409,307,102,4,1,0,1,0
2024-03-29,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,29,0,261,238,23,0,2,0,2,0
2024-01-08,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,28,0,421,328,93,0,3,3,0,0
2024-03-13,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,24,2,382,324,58,0,0,0,0,0
2024-02-29,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,53,5,135,96,39,3,1,1,0,0
2024-02-16,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,24,2,431,317,114,0,4,3,1,0
2024-02-02,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,52,1,479,349,130,4,6,5,1,0
2024-01-29,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,34,3,324,260,64,0,2,1,1,0
2024-02-26,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,50,0,167,134,33,2,17,6,7,4
2024-02-13,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,55,10,182,146,36,6,1,1,0,0
2024-03-15,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,42,1,199,171,28,0,8,5,3,0
2024-01-03,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,37,6,407,384,23,4,8,3,3,2
2024-03-19,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,37,1,479,426,53,2,1,1,0,0
2024-01-22,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,29,0,166,147,19,0,1,1,0,0
2024-01-25,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,40,9,425,306,119,0,0,0,0,0
2024-01-19,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,25,2,337,276,61,1,4,1,2,1
2024-03-06,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,47,3,389,337,52,0,1,0,1,0
2024-02-07,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,39,2,250,193,57,0,2,0,2,0
2024-01-09,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,54,8,406,368,38,0,11,4,6,1
2024-03-04,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,21,0,280,236,44,1,3,1,2,0
2024-02-28,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,30,7,473,439,34,0,4,4,0,0
2024-01-31,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,45,11,293,221,72,0,1,0,1,0
2024-02-14,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,42,2,240,174,66,0,10,4,6,0
2024-01-04,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,60,9,416,337,79,5,20,13,7,0
2024-03-12,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,48,3,443,343,100,0,1,1,0,0
2024-02-15,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,48,1,266,191,75,6,4,4,0,0
2024-02-08,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,57,0,350,324,26,1,7,6,1,0
2024-03-20,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,23,2,163,134,29,0,7,6,1,0
2024-01-01,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,43,2,318,255,63,2,2,0,2,0
2024-03-28,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,26,3,265,202,63,1,4,2,2,0
2024-01-15,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,39,11,459,366,93,0,6,4,2,0
